"","Height","interaction","Pedigree","DAP","Height2","Tester"
"1171",2.08911082474124,"W10004_0008 X PHK76:76","W10004_0008 X PHK76",76,2.08911082474124,"PHK76"
"1172",2.08926303916694,"W10004_0008 X PHK76:80","W10004_0008 X PHK76",80,2.08926303916694,"PHK76"
"1173",2.08932044583669,"W10004_0008 X PHK76:83","W10004_0008 X PHK76",83,2.08932044583669,"PHK76"
"1174",2.08936738803903,"W10004_0008 X PHK76:87","W10004_0008 X PHK76",87,2.08936738803903,"PHK76"
"1175",2.08936190845911,"W10004_0008 X PHK76:90","W10004_0008 X PHK76",90,2.08936190845911,"PHK76"
"1176",2.08943112341652,"W10004_0008 X PHK76:99","W10004_0008 X PHK76",99,2.08943112341652,"PHK76"
"1177",2.08943630175723,"W10004_0008 X PHK76:101","W10004_0008 X PHK76",101,2.08943630175723,"PHK76"
"1178",2.08944244557943,"W10004_0008 X PHK76:104","W10004_0008 X PHK76",104,2.08944244557943,"PHK76"
"1179",2.08944705480585,"W10004_0008 X PHK76:107","W10004_0008 X PHK76",107,2.08944705480585,"PHK76"
"1180",2.08945143236357,"W10004_0008 X PHK76:111","W10004_0008 X PHK76",111,2.08945143236357,"PHK76"
"1181",2.08945373991302,"W10004_0008 X PHK76:114","W10004_0008 X PHK76",114,2.08945373991302,"PHK76"
"1182",2.08936969419005,"W10004_0008 X PHK76:118","W10004_0008 X PHK76",118,2.08936969419005,"PHK76"
"1183",2.08945731066532,"W10004_0008 X PHK76:122","W10004_0008 X PHK76",122,2.08945731066532,"PHK76"
"1184",2.08945822821547,"W10004_0008 X PHK76:126","W10004_0008 X PHK76",126,2.08945822821547,"PHK76"
"1185",0.0759539557709795,"W10004_0008 X PHP02:15","W10004_0008 X PHP02",15,0.0759539557709795,"PHP02"
"1186",0.0932672112990637,"W10004_0008 X PHP02:17","W10004_0008 X PHP02",17,0.0932672112990637,"PHP02"
"1187",0.175809213227462,"W10004_0008 X PHP02:22","W10004_0008 X PHP02",22,0.175809213227462,"PHP02"
"1188",0.23012799786257,"W10004_0008 X PHP02:24","W10004_0008 X PHP02",24,0.23012799786257,"PHP02"
"1189",0.340827875294527,"W10004_0008 X PHP02:27","W10004_0008 X PHP02",27,0.340827875294527,"PHP02"
"1190",0.490979203490226,"W10004_0008 X PHP02:30","W10004_0008 X PHP02",30,0.490979203490226,"PHP02"
"1191",0.613862668570458,"W10004_0008 X PHP02:32","W10004_0008 X PHP02",32,0.613862668570458,"PHP02"
"1192",0.990831391741104,"W10004_0008 X PHP02:37","W10004_0008 X PHP02",37,0.990831391741104,"PHP02"
"1193",1.1603497884398,"W10004_0008 X PHP02:39","W10004_0008 X PHP02",39,1.1603497884398,"PHP02"
"1194",1.33258443960081,"W10004_0008 X PHP02:41","W10004_0008 X PHP02",41,1.33258443960081,"PHP02"
"1195",1.65930433072512,"W10004_0008 X PHP02:45","W10004_0008 X PHP02",45,1.65930433072512,"PHP02"
"1196",1.86553702784271,"W10004_0008 X PHP02:48","W10004_0008 X PHP02",48,1.86553702784271,"PHP02"
