"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"W10004_0199 X PHZ51",-6.66661641516853,0.193717909205241,0.797401339408042,-0.0729490049592984,-0.0179610217648361,0.016618073603735,0.0254529087620085,0.00517390993212324,-0.00146551819849811,-0.000773708255958905,-0.000786510583356196,-0.00430899661244957,-0.000128701817819848,0.000555034991719827,-1.48687219008736e-05,-0.000138532890264775,8.2492607030249e-05,1.810700615687e-05,1.65380490821376e-06,-1.60544681426233e-05,7.20083146832362e-07,-1.8745053005087e-06,7.45277948105416e-07,4.19492554859513e-07,-7.15657977323758e-08,2.06084208309587e-08,-5.15314685367585e-09,2.99359146499478e-09,2.29168073406782e-09,1.37449995829542e-10,3.5162761591323e-11,-5.53203316489004e-12
"W10004_0200 X PHK76",-0.0821536845135139,1.41418912892438,0.0967759676972464,-0.151154539912632,0.0271017700714911,0.0112480581958496,-0.00935254332660369,-0.00645245263753536,0.00146375990405528,-0.000133582775339969,0.00450349467696893,-0.000143322342039818,-0.000851420045288251,0.000194714931844635,-0.000124559235521203,-6.05371672511568e-06,4.94940820638667e-05,-5.54044113816599e-06,-3.15254190173461e-06,-7.90498541530099e-06,-3.62006914736424e-07,1.97835446396483e-07,1.12495640046395e-07,-2.51149872919354e-07,1.92708667079433e-08,-1.48060940764749e-08,-1.92382342695252e-09,-2.1582970133327e-10,-1.05537106831477e-10,-1.61838389911573e-11,-2.77160239203766e-12,-3.40669853438058e-12
"W10004_0200 X PHZ51",-4.36177621621637,-1.29584813881011,-0.136635644129238,0.0917180601625957,-0.000107889594996677,0.0177216839744537,0.0106737881600069,5.8856551610198e-05,0.00122549365647805,-0.00113901071900327,-0.002856075955261,-0.00173200890803975,-0.000690094336713493,0.000111825477982219,-7.63559275157311e-05,-0.000111098200932969,1.54733523143324e-05,2.1958022875801e-05,9.08743352853736e-06,4.2603207141001e-06,2.17923993806046e-06,3.09409575294239e-07,-1.10753753113091e-07,2.52491937913213e-07,5.01280155718042e-08,-5.43494330651484e-08,-3.1536362160578e-08,-5.9640472734046e-09,-1.41616063320527e-09,-1.58011076445419e-10,-2.22577511976851e-11,6.55878129585119e-12
"W10004_0203 X PHK76",-2.89053894212594,0.147021717459225,-0.259011524006868,-0.170066610433256,0.0299490129117184,0.00923224763389305,-0.0164210645016002,-0.00421930435769696,0.00167613867823309,9.2684732301597e-05,0.00174528713465151,0.00231625280646917,-0.000634359575154869,-0.00019717015800079,-0.000161714776401201,2.2583880712912e-05,3.53147898266015e-06,1.42404641071819e-05,-2.02203545670437e-06,-2.43847107735118e-06,6.68206125459259e-07,-4.70852237519082e-07,3.52314448989755e-07,5.49668255356295e-08,-4.79619869375725e-08,-2.52982758006115e-08,8.69872615605338e-09,-2.29593330978994e-09,-4.12627432222479e-11,1.22636623078876e-12,7.29236115937226e-13,-4.98544261429146e-12
"W10004_0203 X PHP02",-3.45643869441244,0.892515395138032,-0.22329821848753,0.159815747181717,-0.0395498290275055,-0.0115038233820641,0.00172204149820075,-0.000594988467956664,-0.000403489035513994,-0.000109613188805188,0.00297816408715751,-4.78106081814311e-05,8.7723928025682e-05,-0.000167066505959101,2.26161709452194e-05,-0.000134127170288725,-1.50383378342556e-05,1.50641424066927e-05,5.62775700075485e-06,2.58785217296942e-06,2.68904670391867e-07,3.77444812571515e-07,3.19088615127749e-07,1.61766011988473e-07,-7.35830688047834e-09,3.31372764922344e-08,-7.45703571114475e-09,-2.92448979269389e-09,1.18649146063632e-10,5.45499340143252e-11,3.42600947611515e-13,3.47344375484226e-12
"W10004_0203 X PHZ51",-2.65095269241311,-1.48087835179323,-0.460959360283365,-0.180729210689899,0.0164503494943399,0.00349148123084016,-0.0106414456985203,0.00466708457247764,0.000204171976312853,0.000146436602714434,-0.000206131009237969,0.00242213690885254,0.000589773779134981,-0.000243620879119888,-6.5606078262781e-06,0.000169601299670197,-4.93721899439969e-05,-1.49215486988097e-05,-9.26590462760335e-06,9.7255163158394e-06,8.33252712939547e-07,-2.14775771292808e-07,-6.51950522595479e-07,1.97673826612954e-08,2.516324443258e-08,-6.81305127731013e-08,-1.78358264824041e-08,-7.02150428077974e-10,4.31885027740719e-10,-1.56963053665748e-11,6.19654327849162e-12,-6.30062668705023e-12
"W10004_0204 X PHK76",4.58768443074093,-0.934495230179572,-0.522724505429631,0.172726514103477,-0.0169461272847153,-0.00675752294437744,0.00108327768707941,0.00177928808846965,0.000592360220358395,-0.000365336423011647,0.00136813655905258,-0.000566321204945347,0.000206566284853993,-4.02306607462655e-05,7.78403999977251e-05,-6.62096118973221e-05,-5.84345425236332e-06,-1.77805955875465e-06,2.35197550299548e-06,2.56801308071153e-06,-9.50990140691221e-07,3.39074563052155e-07,-1.20332365086129e-07,-4.90112573581225e-08,-2.60100097015936e-09,-1.18940161886183e-09,2.4375879092986e-09,6.04469538659225e-10,-1.12358455872652e-10,-4.11973233305218e-12,-4.34979829933013e-12,4.39589337153379e-12
"W10004_0204 X PHP02",-1.53193667234717,-0.927018665073634,-0.180251677413863,-0.206307701638428,0.0152129915471248,-0.000570528185020968,-0.012751185167705,0.00196419589808041,0.000581860898226609,0.000290500833279063,-0.00134413281393916,0.00301437217812672,0.000159880122647373,-0.000291371480441602,-6.70600989672171e-05,0.000142158509915113,-4.08856479503505e-05,2.72686588763393e-06,-3.40946571995154e-06,6.52214000300411e-06,1.53704930036525e-06,-2.21056296191569e-07,-2.10554538054852e-07,2.59093009172262e-07,-1.51120156527407e-08,-2.55153015937815e-08,-9.41166927725945e-09,7.85798528676884e-10,7.81070680355711e-10,5.35212985042222e-11,1.32012178966079e-11,-4.05241812329038e-12
"W10004_0204 X PHZ51",3.81816813398615,-0.387275865908748,0.252556171605643,-0.311426061322961,0.00291422594378866,-0.0255103882100286,-0.0222004313254231,-0.00109073744649509,0.000985798454522548,0.000563652300569553,-0.0021726217111064,0.00544490697572055,-0.000633579330232073,-0.000550454034422249,-0.000156940202885203,2.39110711808266e-06,-2.57485082620912e-05,4.63861764891382e-05,1.32396511427907e-05,-2.4103558148858e-06,7.47724916594361e-07,2.35342597992849e-07,8.03487718428753e-07,2.63270975756069e-07,-8.5315910502981e-08,5.27767179542282e-08,2.9681675978166e-08,3.19298173491467e-09,-8.58027482397716e-10,-4.38880320974278e-11,-1.07757275324971e-11,2.6104188255438e-12
"W10004_0206 X PHK76",-4.80408931154466,-0.213489422559173,-0.125190361093627,0.117726085895387,-0.0231854010176676,0.00277608601104189,0.00675139756614024,0.000316299145483645,0.000315500856550126,-0.00043824716495508,-0.00240889112567691,-0.00103114884493498,-9.04877924094716e-05,0.000113798280487659,8.04744126559898e-05,-0.00013996563166821,1.97549289054355e-05,9.32690991448104e-06,1.50785807646742e-05,-1.764601049975e-06,-4.95125728139367e-07,8.98735504933912e-07,3.77303268961349e-07,1.62535685827025e-07,-3.96533479662953e-08,1.61572698414991e-08,-3.25857218985703e-09,-4.24783607247403e-09,2.77766476486363e-10,7.96796795210497e-11,5.62053181774047e-12,6.53668785766115e-12
"W10004_0206 X PHP02",-0.26553505270441,1.11212704159095,0.0553372462994332,0.148374736077783,-0.0520999363733671,-0.0199177053015444,0.005763583958571,0.00197872435831941,-0.00134830987917432,0.000144387880103883,0.00362132188649091,-0.000537933955161381,0.000538422736315734,-0.000146780795909098,0.0001103711492077,-0.000147095844593017,-2.71329150334683e-05,6.11727047751531e-06,3.32029104127378e-06,3.95594460345094e-06,-1.00567627717499e-06,4.19574968345271e-08,-3.81591863107822e-08,-6.69345481818517e-10,4.49423936260684e-09,2.25423796747226e-08,2.94674722470245e-09,4.22386579271988e-09,2.13953091354746e-11,1.2590456455186e-11,-3.67833194458989e-12,3.50612074095924e-12
"W10004_0206 X PHZ51",-2.59512868189012,-0.522299714920823,-0.602586899647634,0.245058766123963,-0.0281577286274397,-0.00538548678759653,-0.00136888965212908,-0.0021803403594865,0.00131419833834656,-0.000363854581922146,-0.00336866720314789,0.000352859899624067,-0.000156086657852633,-6.48741538909203e-05,0.000112454733850298,-0.000130303900524736,5.2007564149692e-07,4.36297158749877e-06,1.55688565056517e-05,1.78056457018905e-06,-9.78682326874258e-07,1.07410928797125e-06,1.47982035528238e-07,1.02452263811559e-07,-2.2672018623604e-08,4.52412107151967e-08,4.76429826146152e-10,2.4558162829702e-09,1.00768310362653e-10,6.00428873287484e-11,-4.53193038651989e-13,6.73374550563821e-12
"W10004_0212 X PHK76",-1.98092786333182,-0.139065184860714,-0.423048876268652,0.0913466907441663,-0.0119933025689797,4.41115646965511e-05,-0.00161724775951901,0.000676205624511657,0.000234363590792942,-9.15421965116819e-05,0.00212140761516086,3.30484615632815e-05,0.000260762262275817,-0.000117748108083598,5.12259840045326e-05,-7.0891456262559e-05,-1.80191981027505e-05,-2.17482337017127e-06,-1.19091397605964e-06,4.05248503559941e-06,-6.93160672318727e-07,-1.61307182403037e-08,-1.26784320458873e-07,-8.09571328100334e-08,6.90973346595403e-09,-1.77229626807662e-10,1.3550884442326e-09,2.9597276886284e-10,-2.75350381384598e-10,-3.58387347576539e-11,-6.72503719378881e-12,1.60659680004116e-13
"W10004_0212 X PHP02",4.47806228738577,0.582143127064038,0.329892925083019,0.0927195933238437,-0.051448851190836,-0.0218602586803419,0.0124228071059894,0.00533357522793471,-0.0018634283691706,-3.79416769685642e-05,0.00349185123855535,-0.00165564077726228,0.000647275454357804,3.72016326225522e-05,0.000114835955485282,-0.000101905596560731,-7.77234679066874e-06,5.15084742355731e-06,5.63328683093889e-06,6.73511960536111e-07,-1.00376198741703e-06,4.69402616262715e-07,6.3270634287349e-08,3.0875660361751e-09,-1.93835291983913e-08,-2.26360882954468e-08,3.64061536473059e-09,-2.45705970153276e-09,-5.80967496333074e-11,2.58319754475878e-11,-1.11596842877759e-12,6.09472194934568e-12
"W10004_0212 X PHZ51",-4.41386467003431,-0.116190248117803,-0.227733817702,0.0163287602313631,-0.011104438245424,0.0028578778973173,0.000472103734284079,0.00194225934164542,-0.000175656365098222,-3.44877134083044e-05,0.000754833022745083,-5.3665299524705e-05,0.000381160571960776,-3.52858317590188e-05,7.47250893331497e-05,-4.79368775059275e-05,-1.27489309411921e-05,-6.79466698555453e-06,1.29962417332041e-06,2.9189644137062e-06,-1.01729441762122e-06,2.34757407804875e-07,-1.35599034625788e-07,-1.37808234546011e-07,-6.26670679237940e-09,-2.84941260586535e-08,3.72423203387484e-09,-2.95507477168777e-09,-4.41997993760879e-10,-2.71853095590302e-11,-6.07305872257768e-12,6.91710577704896e-13
"W10004_0213 X PHK76",5.59446746211322,0.311025258214236,-0.152606007315811,-0.138661959411119,0.0302822999959094,0.00728199194180446,-0.00829317705326418,-0.00277740144545643,0.00131375258209945,-0.000338988473749191,0.0056266740315555,-0.000469189684261739,-0.000467356764771831,0.000208773438792387,-9.74514263116788e-05,8.59410658613502e-05,3.49269185404011e-05,-1.72521143055326e-05,-8.58915586098019e-06,-3.31664220667993e-06,4.06428504740042e-08,2.86992808948283e-07,-3.14921323824047e-07,-2.07484246811385e-07,3.56228248010737e-08,-5.9609595939869e-08,-1.38711581942896e-08,-3.4709021143331e-09,1.89540272366173e-10,-2.3347990207867e-12,1.64690483472896e-12,-3.07545655608976e-12
"W10004_0213 X PHP02",3.89977553271625,0.761342747122883,-0.440206247922527,0.327777433605316,-0.0688922631332252,-0.042224331503452,-0.00939332196871819,-0.00559061906417219,0.00115380668259134,7.82794780272711e-05,-0.00372930973862025,0.00319522405843287,-0.000475655071939723,-0.000288084691444812,-2.00184126700476e-05,0.000103823815775367,-7.37963202102065e-06,4.46607335663485e-06,2.35732353653928e-06,-3.96420995432689e-06,7.44421650239468e-07,-1.0513903723891e-06,-4.26064111908042e-08,2.18222661496625e-07,-4.93249963928744e-08,-6.95882814150117e-08,-2.32169539149396e-09,1.0179777330116e-08,2.19402274126423e-10,5.39401856514132e-13,-1.84793846891296e-12,-1.32382854678426e-11
"W10004_0213 X PHZ51",1.85207223367525,-0.799836017096248,-0.743106484466421,0.164028153542489,-0.00291927542670472,0.0013927664579081,-0.00402986479302953,-0.000229202936849221,0.00111951374848503,-0.000314175788815631,0.00256679849112725,-3.17422629363823e-05,6.29161222331157e-05,-0.000132852446093859,2.11474424944916e-05,-6.05691534729738e-05,-1.24976993894771e-05,-1.52627468819055e-06,-4.78925470914771e-06,3.63533898498775e-06,-4.22503430297372e-07,-3.05270600624297e-07,-1.44788136743901e-07,-5.28076744554795e-08,1.94304779765897e-08,2.68784857183901e-08,-1.09806785886235e-09,1.47218842672103e-09,8.00125660171958e-11,-1.32013844300616e-12,-2.23555896017302e-12,1.02710895344416e-12
