Hybrid,Yield,DTA,DTS,PHT,EHT
W10004_0070/PHK76,NA,51.75912573,51.88378646,193.7340108,72.51569741
W10004_0070/PHP02,7.266138769,50.95320361,51.7752419,207.6651424,80.09393054
W10004_0070/PHZ51,8.585378009,52.56081236,53.04634376,239.397927,118.4837214
W10004_0071/PHP02,6.942430721,50.12923994,51.38472113,218.1622357,104.4757134
W10004_0071/PHZ51,9.54580854,51.57494453,51.43250462,250.7106684,118.0091599
W10004_0072/PHK76,6.126457947,51.11149385,51.59675583,239.6792886,109.4891946
W10004_0072/PHP02,9.242926403,51.99406772,51.78769895,226.8511839,109.1563366
W10004_0072/PHZ51,8.733425917,54.17594246,54.16767213,260.5344091,113.0543683
W10004_0073/PHP02,8.867498352,50.44077691,51.39182864,232.2855076,111.0954763
W10004_0073/PHZ51,NA,50.82449373,52.2710584,247.7263673,119.5199538
W10004_0076/PHK76,NA,51.39500914,52.33786157,217.4999882,99.48443473
W10004_0076/PHP02,9.014611824,51.54137948,53.39680715,230.5681813,94.38724513
