Pedigree,Height.15,Height.17,Height.22,Height.24,Height.27,Height.30,Height.32,Height.37,Height.39,Height.41,Height.45,Height.48,Height.51,Height.56,Height.60,Height.62,Height.69,Height.73,Height.76,Height.80,Height.83,Height.87,Height.90,Height.99,Height.101,Height.104,Height.107,Height.111,Height.114,Height.118,Height.122,Height.126
W10004_0654 X PHP02,0.055871175,0.071398446,0.146908865,0.197383821,0.30146946,0.444576999,0.563002063,0.932268085,1.100972131,1.274008517,1.606913572,1.820448526,1.986709029,2.153345562,2.210321141,2.223671328,2.237872309,2.238942348,2.239185593,2.239315939,2.239364555,2.239404265,2.23939963,2.239458176,2.239462556,2.239467753,2.239471652,2.239475355,2.239477307,2.239406216,2.239480327,2.239481103
W10004_0654 X PHZ51,0.04345867,0.060368546,0.141808428,0.195836034,0.306615843,0.457932417,0.582477633,0.96771196,1.142316799,1.320539133,1.660921613,1.877449473,2.04504334,2.212391935,2.269877276,2.283527732,2.298431042,2.299632077,2.29991449,2.300067933,2.300125384,2.300172328,2.300166849,2.300236064,2.300241242,2.300247386,2.300251995,2.300256373,2.30025868,2.300174634,2.300262251,2.300263168
W10004_0658 X PHK76,0.094325901,0.110872793,0.190893966,0.244147147,0.353565043,0.503300453,0.626661339,1.008186877,1.180796441,1.356573418,1.690404809,1.900633225,2.061345699,2.218521019,2.270962276,2.283196323,2.296493855,2.297611058,2.297885241,2.298037538,2.298094946,2.298141888,2.298136409,2.298205624,2.298210802,2.298216946,2.298221555,2.298225933,2.29822824,2.298144195,2.298231811,2.298232728
W10004_0658 X PHP02,0.073474649,0.089284368,0.165880857,0.216974684,0.322234401,0.466870992,0.586550801,0.959925367,1.130682401,1.305989994,1.643961497,1.861560775,2.031846312,2.20424591,2.264274049,2.278589008,2.294143595,2.295364772,2.295648021,2.295801422,2.295858862,2.295905806,2.295900326,2.295969541,2.295974719,2.295980863,2.295985472,2.29598985,2.295992157,2.295908112,2.295995728,2.295996646
W10004_0658 X PHZ51,0.016665511,0.034153525,0.117078044,0.171469117,0.282151873,0.432195375,0.555063269,0.933183662,1.104147771,1.278705032,1.613268051,1.828173515,1.997151626,2.171927701,2.236401779,2.252891085,2.272832316,2.274691505,2.275108041,2.275301601,2.275363559,2.275411294,2.275405861,2.27547508,2.275480258,2.275486402,2.275491011,2.275495389,2.275497696,2.275413651,2.275501267,2.275502185
W10004_0659 X PHK76,0.09601466,0.111722705,0.187946354,0.238855342,0.343821924,0.488156526,0.607615034,0.980062287,1.150082487,1.324272942,1.65842763,1.871615098,2.036501574,2.199967483,2.255100434,2.267964261,2.281813558,2.282945301,2.283220277,2.283372635,2.283430044,2.283476986,2.283471506,2.283540721,2.283545899,2.283552043,2.283556652,2.28356103,2.283563337,2.283479292,2.283566908,2.283567826
W10004_0659 X PHP02,-0.064235405,-0.0470715,0.034938608,0.088989001,0.199239189,0.348884977,0.471387338,0.847077724,1.015857939,1.187165375,1.511384171,1.715249218,1.871387167,2.025255001,2.077433487,2.089783003,2.103366356,2.104507908,2.104784763,2.104937452,2.104994875,2.105041818,2.105036338,2.105105553,2.105110731,2.105116875,2.105121484,2.105125862,2.105128169,2.105044124,2.10513174,2.105132658
W10004_0659 X PHZ51,-0.105460221,-0.089054617,-0.009648433,0.043245311,0.152031739,0.301121791,0.424138129,0.805727993,0.97899041,1.155899127,1.49347429,1.707488641,1.87218644,2.034692069,2.089396812,2.102187175,2.11601897,2.117154924,2.117430441,2.117582872,2.117640283,2.117687225,2.117681745,2.11775096,2.117756138,2.117762282,2.117766891,2.117771269,2.117773577,2.117689531,2.117777147,2.117778065
W10004_0661 X PHK76,-0.07772591,-0.061163627,0.018592759,0.071507478,0.180027099,0.328312839,0.450417313,0.82844776,0.999983397,1.175223232,1.510447735,1.724220837,1.890147821,2.056622708,2.114235394,2.127998843,2.143107394,2.144326577,2.144611305,2.144765147,2.144822617,2.144869563,2.144864083,2.144933298,2.144938476,2.14494462,2.14494923,2.144953607,2.144955915,2.144871869,2.144959485,2.144960403
W10004_0661 X PHP02,0.031619822,0.048987713,0.131991657,0.18672176,0.298432371,0.450239524,0.574681809,0.957446107,1.130061492,1.305776307,1.640171086,1.852177365,2.016005779,2.179700803,2.236272697,2.249825292,2.264814041,2.266043174,2.266330551,2.266485081,2.266542601,2.266589552,2.266584073,2.266653288,2.266658466,2.26666461,2.266669219,2.266673596,2.266675904,2.266591858,2.266679475,2.266680392
