"","grp","var1","var2","vcov","sdcor","Percent","RMSE","Repeatability","Rsquared","Trait"
"58","Pedigree","(Intercept)",NA,7.38117958625002e-06,0.00271683263861616,0.0103703428603204,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
"59","Row","(Intercept)",NA,4.72317463663451e-06,0.00217328659790524,0.00663592313379193,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
"60","Range","(Intercept)",NA,7.26635615550381e-06,0.00269561795429245,0.0102090192762886,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
"61","Flight","(Intercept)",NA,0.000494592528321613,0.0222394363310227,0.694888132027375,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
"62","Rep","(Intercept)",NA,2.4797879621314e-07,0.000497974694350165,0.000348403003716415,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
"63","Residual",NA,NA,0.000177454199658756,0.0133211936274028,0.249317994632345,0.0126088087083534,0.458397313392029,0.750682005367655,"BCC"
"64","Pedigree:Flight","(Intercept)",NA,3.80131234153492e-05,0.00616547836062614,0.0300288693648356,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"65","Pedigree","(Intercept)",NA,1.16239944233503e-05,0.00340939795614274,0.00918249748178859,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"66","Row","(Intercept)",NA,3.71367730269001e-06,0.00192709037221662,0.00293365870957618,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"67","Range","(Intercept)",NA,1.20654777685412e-05,0.00347353965984861,0.00953125192521156,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"68","Flight","(Intercept)",NA,0.00105145788309027,0.0324261913133545,0.830610288687699,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"69","Rep","(Intercept)",NA,6.69672616637036e-14,2.58780334770059e-07,5.29014974709531e-11,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"70","Residual",NA,NA,0.000149011780346517,0.0122070381479914,0.117713433777987,0.0110028546428001,0.597978980550228,0.882286566222013,"CIVE"
"71","Pedigree:Flight","(Intercept)",NA,0.00254247473474594,0.0504229584092994,0.0152374866315061,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"72","Pedigree","(Intercept)",NA,0.00143698113329421,0.037907533991203,0.00861207409814633,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"73","Row","(Intercept)",NA,0.000642365483275122,0.0253449301296161,0.00384980638359174,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"74","Range","(Intercept)",NA,0.000923845384579073,0.0303948249637841,0.00553676365185548,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"75","Flight","(Intercept)",NA,0.14635167607799,0.382559375885613,0.877110665943241,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"76","Rep","(Intercept)",NA,0,0,0,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"77","Residual",NA,NA,0.0149592258730373,0.122307914188074,0.0896532032916595,0.113272810812776,0.655591062157265,0.910346796708341,"COM1"
"78","Pedigree:Flight","(Intercept)",NA,2.89884558074842e-05,0.00538409284907719,0.0146405461506866,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
"79","Pedigree","(Intercept)",NA,2.66350481209807e-05,0.0051609154343954,0.0134519635620018,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
"80","Row","(Intercept)",NA,1.14011391890017e-05,0.00337655729834424,0.00575811645765162,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
"81","Range","(Intercept)",NA,1.58807062487758e-05,0.003985060382074,0.00802051045025559,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
"82","Flight","(Intercept)",NA,0.00171364915243898,0.0413962456321703,0.865474162162527,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
"83","Rep","(Intercept)",NA,0,0,0,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
"84","Residual",NA,NA,0.000183457412308021,0.0135446451525324,0.0926547012168778,0.0125893802504937,0.743121838936732,0.907345298783122,"COM2"
